suburb,population_in_compound_zone
Saint Heliers West,4.06847387674558
Buckland,3.9773906992721964
Parnell East,3.8490284818369735
Runciman,3.7252852660012836
West Harbour Luckens Point,3.6498832649539783
Remuera East,3.561428698117662
Orewa Central,3.421251790405627
Waitākere Ranges South,3.294871422250917
Laingholm,3.2218577181297587
Mission Bay Eastridge,3.1530419845761086
Northcote Point (Auckland),3.1058902983640393
Botany Downs East,3.030508927743128
Patumāhoe,2.99803001883878
Hillsborough Central (Auckland),2.897754623333805
Remuera North,2.849083108141105
Te Atatū South-McLeod South,2.7653582680903708
Totara Heights,2.7350067830359914
Ōwairaka West,2.6648655225677844
Massey Red Hills,2.5807605964101747
Goodwood Heights East,2.580183687624724
Grey Lynn East,2.4996548788407833
Māngere Bridge Ambury,2.422542102970383
Mount St John,2.30083425159197
Green Bay North,2.009724717987478
Bremner Ridge,1.8939190244824466
Takapuna West,1.8484755918266436
Auckland Airport,1.722233317632082
Kingseat-Karaka,1.7085216570306694
Silverdale Central (Auckland),1.4513040697885748
Orakei West,1.3868332393696643
Dairy Flat North,1.2674903037915863
Gulf Islands,1.161175365211241
Blockhouse Bay East,1.1604184713921692
Rānui South West,1.1050360015593998
Wiri West,0.9728276671811283
Forrest Hill West,0.861578135885475
Whenuapai,0.7408747661115924
Milldale,0.7209615861695061
Penrose,0.6580755991883038
Henderson Central,0.4871801162927917
Hobsonville,0.3033220744227506
Hamilton Estate,0.26755912399936427
Huntington Park,0.16890761948602495
North Harbour,0.1590750180040469
Pukekohe Central,0.14685575076172885
Wairau Valley,0.1196926049871386
East Tamaki,0.08261728188903264
West Harbour Clearwater Cove,0.08193962206169025
Manukau Central,0.0685703167160499
Riverhead Forest,0.050512131789073995
Inlets other Auckland,0.03917086360231436
Papakura Industrial,0.03608239409805418
Mount Wellington Industrial,0.013432172429517612
Newmarket Park,0.011423928917611964
Ōtara West,0.00716828870199599
Bucklands Beach North,0.004242557070184998
Inlet Waitemata Harbour,0.0038853611631798333
Bays Waiheke Island,0.0038850846451188477
Cloverlea (Auckland),0.0009903571337694678
Ormiston South East,0.00040271306218932527
Ellerslie West,0.00035239272570067944
Oceanic Auckland Region East,0.0001544574677917952
Tuakau Rural,5.7873959529910935e-08
Mangawhai Rural,3.6607692608515736e-08
Miranda-Pūkorokoro,2.8144030915163768e-09
Mangatangi,2.397415265996044e-09
Aka Aka,6.246070404915042e-14
Inlet Manukau Harbour,0.0
Oceanic Auckland Region West,0.0
Inlet Kaipara Harbour South,0.0
