SA2_CODE_2021,SA2_NAME_2021,High,Medium,Low,Very Low,High_Med_Exposed,Total_Exposed
305031127,Newmarket,513.0,213.0,198.0,237.0,726.0,1161.0
305011106,Fortitude Valley,203.0,499.0,1726.0,1049.0,702.0,3477.0
305031125,Hendra,559.0,135.0,225.0,217.0,694.0,1136.0
303021058,Woolloongabba,567.0,127.0,435.0,873.0,694.0,2002.0
310031290,Karana Downs,359.0,333.0,415.0,217.0,692.0,1324.0
301031016,Manly West,550.0,118.0,165.0,34.0,668.0,867.0
304041100,Keperra,551.0,66.0,108.0,47.0,617.0,772.0
304021091,Pinjarra Hills - Pullenvale,378.0,233.0,229.0,183.0,611.0,1023.0
302021030,Geebung,440.0,155.0,268.0,196.0,595.0,1059.0
304041101,Mitchelton,368.0,205.0,283.0,182.0,573.0,1038.0
303051073,Calamvale - Stretton,434.0,112.0,34.0,6.0,546.0,586.0
305041136,Red Hill (Qld),407.0,134.0,119.0,168.0,541.0,828.0
310011274,Inala - Richlands,482.0,58.0,194.0,399.0,540.0,1133.0
302031037,Eagle Farm - Pinkenba,312.0,210.0,306.0,494.0,522.0,1322.0
302021029,Chermside West,410.0,75.0,113.0,51.0,485.0,649.0
304011082,Middle Park - Jamboree Heights,3.0,470.0,614.0,594.0,473.0,1681.0
304041104,Upper Kedron - Ferny Grove,436.0,29.0,43.0,49.0,465.0,557.0
303041068,Moorooka,185.0,275.0,709.0,545.0,460.0,1714.0
302011026,McDowall,435.0,20.0,24.0,16.0,455.0,495.0
305031124,Hamilton (Qld),167.0,247.0,323.0,561.0,414.0,1298.0
305021116,Hawthorne,129.0,283.0,659.0,998.0,412.0,2069.0
305031120,Alderley,283.0,121.0,115.0,80.0,404.0,599.0
302021032,Stafford,339.0,52.0,118.0,237.0,391.0,746.0
303051072,Algester,286.0,91.0,121.0,123.0,377.0,621.0
303031061,Macgregor (Qld),240.0,101.0,63.0,52.0,341.0,456.0
305031123,Grange,306.0,29.0,87.0,130.0,335.0,552.0
303011050,Carina Heights,261.0,54.0,23.0,20.0,315.0,358.0
303061080,Sunnybank Hills,238.0,70.0,107.0,24.0,308.0,439.0
303021057,Holland Park West,255.0,46.0,46.0,96.0,301.0,443.0
302021034,Wavell Heights,206.0,82.0,182.0,95.0,288.0,565.0
304041098,Enoggera,167.0,91.0,148.0,85.0,258.0,491.0
303031065,Upper Mount Gravatt,178.0,54.0,47.0,51.0,232.0,330.0
304021087,Brookfield - Kenmore Hills,178.0,51.0,52.0,83.0,229.0,364.0
