Suburb,SA2_Code,latitude,longitude,Population,Dwellings,Pop_High_Risk,Pop_Medium_Risk,Pop_Low_Risk,Pop_VeryLow_Risk,Pop_High_Med_Exposed,Pop_Total_Exposed,dwel_total_exposed,dwel_high_med_exposed
Beaudesert,311011305,-28.137579527293347,152.91932767503332,14674,5404,0,0,0,0,0,0,0,0
Beenleigh,311021306,-27.71509346031622,153.19356860694745,8425,3298,0,0,0,0,0,0,0,0
Eagleby,311021307,-27.698575102918088,153.21928489240557,13594,5141,0,0,0,0,0,0,0,0
Edens Landing - Holmview,311021308,-27.71052892935287,153.17002667166298,9549,3232,0,0,0,0,0,0,0,0
Mount Warren Park,311021309,-27.731017229987632,153.20544532762625,5736,2131,0,0,0,0,0,0,0,0
Wolffdene - Bahrs Scrub,311021310,-27.759743056215346,153.17530351980048,9016,2989,0,0,0,0,0,0,0,0
Boronia Heights - Park Ridge,311031311,-27.70506076294083,153.0408520450422,19166,6530,0,0,0,0,0,0,0,0
Browns Plains,311031312,-27.66268486307388,153.06266973646837,8161,2573,0,0,0,0,0,0,0,0
Chambers Flat - Logan Reserve,311031313,-27.73673358153106,153.088860954683,8869,2755,0,0,0,0,0,0,0,0
Crestmead,311031314,-27.68758218069503,153.0844475402537,12158,3587,0,0,0,0,0,0,0,0
Greenbank Military Camp,311031315,-27.67142465952133,152.97067516199633,0,0,0,0,0,0,0,0,0,0
Hillcrest,311031316,-27.665154383128797,153.011649402215,8832,2937,0,0,0,0,0,0,0,0
Marsden,311031317,-27.673474648295134,153.0975788704974,15988,4482,0,0,0,0,0,0,0,0
Munruben - Park Ridge South,311031318,-27.737884228334643,153.03477899992717,4428,1365,0,0,0,0,0,0,0,0
Regents Park - Heritage Park,311031319,-27.67961551181776,153.05106820757183,16032,5067,0,0,0,0,0,0,0,0
Logan Village,311041322,-27.772155460546628,153.10835684268045,8608,2614,0,0,0,0,0,0,0,0
Flagstone (East) - Riverbend,311041567,-27.820508979527688,152.96992093463516,6632,1837,0,0,0,0,0,0,0,0
Flagstone (West) - New Beith,311041568,-27.790206336247785,152.8861536301366,10051,2914,0,0,0,0,0,0,0,0
Greenbank - North Maclean,311041569,-27.74467912547448,152.97828883349737,7637,2343,0,0,0,0,0,0,0,0
Jimboomba - Glenlogan,311041570,-27.86690010460131,153.0352177683743,18013,5410,0,0,0,0,0,0,0,0
Yarrabilba,311041571,-27.825218050405415,153.13803456906496,10706,3244,0,0,0,0,0,0,0,0
Bethania - Waterford,311051323,-27.6985579329991,153.14874771192356,12125,4403,0,0,0,0,0,0,0,0
Cornubia - Carbrook,311051324,-27.66870063313645,153.23891033648547,9076,2985,0,0,0,0,0,0,0,0
Loganholme - Tanah Merah,311051325,-27.680158473428197,153.1817712687963,11588,3920,0,0,0,0,0,0,0,0
Loganlea,311051326,-27.670270645846266,153.13878125777114,11776,3752,0,0,0,0,0,0,0,0
Shailer Park,311051327,-27.649758308520585,153.17755724778252,12073,4076,0,0,0,0,0,0,0,0
Waterford West,311051328,-27.692762051874205,153.12551609247845,7815,2626,0,0,0,0,0,0,0,0
Daisy Hill,311061329,-27.63024452870007,153.15784403471912,6897,2384,0,0,0,0,0,0,0,0
Kingston (Qld),311061330,-27.659228343608675,153.1131119027363,10371,3192,0,0,0,0,0,0,0,0
Logan Central,311061331,-27.64725165272769,153.0986670177916,6356,1987,0,0,0,0,0,0,0,0
Rochedale South - Priestdale,311061332,-27.603578970504675,153.148412885722,15394,5365,0,0,0,0,0,0,0,0
Slacks Creek,311061333,-27.64108817918804,153.13366110381688,10408,3529,0,0,0,0,0,0,0,0
Springwood,311061334,-27.620405013133716,153.1383262724394,9842,3604,0,0,0,0,0,0,0,0
Underwood,311061335,-27.60885102030393,153.1113140725727,6809,2145,0,0,0,0,0,0,0,0
Woodridge,311061336,-27.628488417593413,153.10573998509514,12982,4240,0,0,0,0,0,0,0,0
Beachmere - Sandstone Point,313011362,-27.062971886312532,153.06343723341848,16469,6615,0,0,0,0,0,0,0,0
Bribie Island,313011363,-26.98851985087516,153.13571747699248,20612,9553,0,0,0,0,0,0,0,0
Burpengary - East,313021364,-27.12854880868947,153.00219059848584,6658,2028,0,0,0,0,0,0,0,0
Caboolture - South,313021366,-27.102479845178067,152.93553571450002,23625,8247,0,0,0,0,0,0,0,0
Elimbah,313021367,-27.0003605064292,152.9614221921577,4290,1308,0,0,0,0,0,0,0,0
Morayfield - East,313021368,-27.107560799101805,152.9650357315808,11078,3843,0,0,0,0,0,0,0,0
Wamuran,313021369,-27.04248586120285,152.87227691681727,4228,1296,0,0,0,0,0,0,0,0
Caboolture - East,313021572,-27.0663531945718,152.99380488720618,17736,6133,0,0,0,0,0,0,0,0
Caboolture - West,313021573,-27.05696883416673,152.9261879620864,12165,4297,0,0,0,0,0,0,0,0
Kilcoy,313031370,-26.78330129740476,152.38344800576863,5799,2043,0,0,0,0,0,0,0,0
Woodford - D'Aguilar,313031371,-26.95076212035469,152.76308647069644,9100,2643,0,0,0,0,0,0,0,0
Burpengary,313041372,-27.1584615141115,152.9582599618829,16488,5724,0,0,0,0,0,0,0,0
Deception Bay,313041373,-27.178278758523,153.00980133973198,22686,8480,0,0,0,0,0,0,0,0
Morayfield,313041374,-27.14314771690342,152.9215844861088,5867,1922,0,0,0,0,0,0,0,0
Narangba,313041375,-27.18556727141421,152.9238072640109,20914,6450,0,0,0,0,0,0,0,0
Upper Caboolture,313041376,-27.12282731736211,152.86704536470418,3260,1035,0,0,0,0,0,0,0,0
Clontarf,313051377,-27.247058244274463,153.08218000986938,8415,3379,0,0,0,0,0,0,0,0
Margate - Woody Point,313051378,-27.247966057768178,153.10271174253427,11974,5341,0,0,0,0,0,0,0,0
Redcliffe,313051379,-27.226908530398827,153.10737606764337,10434,4834,0,0,0,0,0,0,0,0
Rothwell - Kippa-Ring,313051380,-27.21606687049765,153.06473601025053,17385,6541,0,0,0,0,0,0,0,0
Moreton Island,313051574,-27.151224589311003,153.40629502766322,309,62,0,0,0,0,0,0,0,0
Scarborough - Newport,313051575,-27.20748793854161,153.09775361125415,15257,6175,0,0,0,0,0,0,0,0
Albany Creek,314011382,-27.354405517347463,152.96899339716262,16410,5778,10,0,0,0,10,10,4,4
Cashmere,314011383,-27.29833726650129,152.92128113525408,19643,6362,0,0,0,0,0,0,0,0
Dayboro,314011384,-27.218851426816588,152.81344165612427,9213,2926,0,0,0,0,0,0,0,0
Eatons Hill,314011385,-27.339978236813707,152.93699162404548,7822,2478,0,0,0,0,0,0,0,0
The Hills District,314011386,-27.381114091111414,152.9413272872727,24313,8602,4,0,0,0,4,4,1,1
Samford Valley,314011387,-27.3572323666002,152.83800745842953,12385,3993,0,0,0,0,0,0,0,0
Murrumba Downs - Griffin,314021389,-27.27032540527426,153.03137044546037,23089,8069,1,0,0,0,1,1,0,0
Dakabin,314021576,-27.22269188589997,152.9852173311245,5275,1910,0,0,0,0,0,0,0,0
Kallangur,314021577,-27.247900448826552,152.9923795579992,21749,8099,0,0,0,0,0,0,0,0
Mango Hill,314021578,-27.24230560819244,153.04559204449026,14921,4760,0,0,0,0,0,0,0,0
North Lakes,314021579,-27.22203686775712,153.01402951687135,23030,7657,0,0,0,0,0,0,0,0
Bray Park,314031391,-27.29242094080513,152.9677551654848,10271,3496,0,0,0,0,0,0,0,0
Lawnton,314031392,-27.2810490187717,152.98230872661662,7095,2705,0,0,0,0,0,0,0,0
Petrie,314031393,-27.26486631716541,152.97250353160433,8735,3149,0,0,0,0,0,0,0,0
Strathpine - Brendale,314031394,-27.3143703024996,152.9832687041137,13747,5208,5,0,0,0,5,5,2,2
